playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),80,Only One Flo (Part 1),0jnsk9HBra6NMjO2oANoPY,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",80,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,234560,4
https://open.spotify.com/playlist/5GhQiRkGuqzpWZSE7OU4Se,2021,3KdoeNlEN0BoAKWzaRLNZa,Solar Power,0,Solar Power,163tK9Wjr9P9DmM0AVK7lm,Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",76,0.735,0.47,4,-9.405,1,0.1,0.266,0.000105,0.32,0.897,87.971,192621,4
https://open.spotify.com/playlist/37i9dQZF1DX9Ol4tZWPH6V,2001,6j2aNuhJJUnRj6UHcvn5PI,I'm a Thug,61,THUGS ARE US,12FHARd9fY0Tu0ila4Ua25,Trick Daddy,"['crunk', 'dirty south rap', 'miami hip hop', 'southern hip hop']",57,0.933,0.561,11,-5.961,1,0.122,0.0275,0.0,0.102,0.586,139.976,254400,4
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,1nueTG77MzNkJTKQ0ZdGzT,Don't Wanna Know (feat. Kendrick Lamar),63,Red Pill Blues (Deluxe),04gDigrS5kc9YWfZHwBETP,Maroon 5,['pop'],85,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,214265,4
https://open.spotify.com/playlist/56r5qRUv3jSxADdmBkhcz7,2022,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,89,"I Aint Worried (Music From The Motion Picture ""Top Gun: Maverick"")",5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"['piano rock', 'pop']",83,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4
https://open.spotify.com/playlist/2fmTTbBkXi8pewbUvG3CeZ,2020,45bE4HXI0AwGZXfZtMp8JR,you broke me first,54,you broke me first,45dkTj5sMRSjrmBSBeiHym,Tate McRae,['pop'],85,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4
https://open.spotify.com/playlist/5GhQiRkGuqzpWZSE7OU4Se,2021,0z8hI3OPS8ADPWtoCjjLl6,Summer of Love (Shawn Mendes & Tainy),72,Summer Of Love,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",82,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4
https://open.spotify.com/playlist/37i9dQZF1DX0h0QnLkMBl4,2014,3omXshBamrREltcf24gYDC,First,69,Hold My Home,6VDdCwrBM4qQaGxoAyxyJC,Cold War Kids,"['indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'stomp and holler']",60,0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,200360,4
https://open.spotify.com/playlist/37i9dQZF1DWVRSukIED0e9,2019,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,85,Hollywood's Bleeding,246dkjvS1zLTtiykXe5h60,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",88,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
https://open.spotify.com/playlist/37i9dQZF1DX0h0QnLkMBl4,2014,5KONnBIQ9LqCxyeSPin26k,Trumpets,63,Talk Dirty,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"['dance pop', 'pop']",79,0.635,0.691,0,-4.862,1,0.258,0.555,0.0,0.097,0.638,82.142,217419,4
https://open.spotify.com/playlist/37i9dQZF1DWWzQTBs5BHX9,2005,3ibKnFDaa3GhpPGlOUj7ff,Let Me Love You,74,Let Me Love You,20s0P9QLxGqKuCsGwFsp7w,Mario,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']",68,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,256733,4
https://open.spotify.com/playlist/37i9dQZF1DXe2bobNYDtW8,2018,2TXtN9MoV308Y0z1HvyTfV,You Make It Easy,74,Rearview Town,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",74,0.542,0.571,7,-5.299,1,0.028,0.156,0.0,0.101,0.506,131.877,193227,3
https://open.spotify.com/playlist/6unJBM7ZGitZYFJKkO0e4P,2023,6pD0ufEQq0xdHSsRbg9LBK,un x100to,81,un x100to,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,['musica chihuahuense'],85,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4
https://open.spotify.com/playlist/37i9dQZF1DWWzQTBs5BHX9,2005,5sNESr6pQfIhL3krM8CtZn,Numb / Encore,78,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",84,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,205733,4
https://open.spotify.com/playlist/37i9dQZF1DX4UkKv8ED8jp,2009,3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,79,So Far Gone,3TVXtAsR1Inumwj472S9r4,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96,0.395,0.922,1,-2.176,1,0.375,0.19,0.0,0.134,0.558,162.361,257690,4
